Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,158280.000000,162700.000000,158280.000000,158460.000000,158460.000000,56
2011-01-05,160100.000000,160200.000000,154360.000000,155100.000000,155100.000000,37
2011-01-06,154880.000000,157360.000000,153740.000000,155760.000000,155760.000000,42
2011-01-07,154480.000000,160020.000000,152360.000000,156080.000000,156080.000000,22
2011-01-10,159280.000000,161740.000000,155520.000000,155760.000000,155760.000000,35
2011-01-11,153440.000000,154520.000000,151020.000000,151460.000000,151460.000000,30
2011-01-12,148220.000000,148540.000000,144320.000000,144700.000000,144700.000000,22
2011-01-13,144560.000000,146080.000000,142980.000000,143000.000000,143000.000000,7
2011-01-14,144000.000000,144000.000000,135600.000000,137100.000000,137100.000000,23
2011-01-18,136040.000000,136760.000000,132840.000000,132920.000000,132920.000000,10
2011-01-19,133620.000000,142500.000000,133280.000000,139840.000000,139840.000000,27
2011-01-20,140780.000000,144080.000000,137860.000000,138620.000000,138620.000000,49
2011-01-21,134780.000000,141240.000000,134740.000000,139940.000000,139940.000000,17
2011-01-24,140200.000000,140900.000000,136620.000000,136920.000000,136920.000000,18
2011-01-25,138380.000000,140340.000000,135180.000000,135180.000000,135180.000000,13
2011-01-26,133880.000000,134740.000000,130320.000000,130960.000000,130960.000000,16
2011-01-27,131140.000000,131700.000000,128200.000000,128500.000000,128500.000000,7
2011-01-28,128020.000000,141220.000000,127260.000000,139260.000000,139260.000000,31
2011-01-31,137420.000000,139620.000000,136760.000000,138700.000000,138700.000000,13
2011-02-01,135560.000000,135560.000000,130760.000000,132100.000000,132100.000000,19
2011-02-02,133120.000000,133400.000000,129820.000000,131560.000000,131560.000000,10
2011-02-03,132060.000000,135360.000000,129600.000000,130000.000000,130000.000000,9
2011-02-04,129580.000000,129900.000000,126700.000000,126940.000000,126940.000000,17
2011-02-07,125480.000000,125480.000000,123220.000000,124600.000000,124600.000000,10
2011-02-08,124380.000000,126000.000000,122520.000000,122900.000000,122900.000000,12
2011-02-09,124220.000000,126000.000000,123220.000000,123500.000000,123500.000000,28
2011-02-10,126740.000000,126740.000000,123020.000000,123400.000000,123400.000000,16
2011-02-11,124800.000000,124800.000000,121300.000000,121400.000000,121400.000000,21
2011-02-14,121460.000000,122040.000000,120300.000000,120320.000000,120320.000000,19
2011-02-15,120980.000000,122060.000000,120560.000000,121940.000000,121940.000000,15
2011-02-16,120240.000000,123380.000000,119100.000000,123380.000000,123380.000000,24
2011-02-17,124080.000000,125500.000000,123960.000000,124580.000000,124580.000000,24
2011-02-18,124220.000000,127000.000000,124200.000000,125880.000000,125880.000000,19
2011-02-22,133540.000000,142300.000000,129120.000000,141600.000000,141600.000000,55
2011-02-23,141740.000000,151660.000000,140220.000000,147860.000000,147860.000000,56
2011-02-24,147660.000000,150600.000000,144940.000000,145900.000000,145900.000000,14
2011-02-25,141920.000000,141920.000000,136800.000000,136980.000000,136980.000000,24
2011-02-28,133620.000000,133620.000000,130160.000000,131080.000000,131080.000000,33
2011-03-01,129820.000000,140920.000000,129500.000000,140660.000000,140660.000000,49
2011-03-02,141140.000000,142540.000000,137180.000000,141200.000000,141200.000000,39
2011-03-03,134660.000000,135860.000000,133700.000000,133900.000000,133900.000000,15
2011-03-04,133120.000000,140240.000000,132880.000000,137720.000000,137720.000000,22
2011-03-07,141000.000000,145020.000000,134320.000000,141220.000000,141220.000000,23
2011-03-08,140280.000000,144040.000000,137080.000000,138140.000000,138140.000000,8
2011-03-09,139960.000000,143800.000000,139360.000000,139980.000000,139980.000000,12
2011-03-10,145240.000000,148120.000000,143640.000000,147080.000000,147080.000000,20
2011-03-11,150020.000000,150020.000000,142300.000000,143040.000000,143040.000000,19
2011-03-14,147900.000000,148960.000000,144360.000000,144920.000000,144920.000000,13
2011-03-15,160560.000000,160860.000000,148220.000000,150760.000000,150760.000000,99
2011-03-16,152040.000000,169980.000000,151160.000000,164320.000000,164320.000000,134
2011-03-17,155000.000000,159300.000000,153640.000000,158180.000000,158180.000000,54
2011-03-18,150960.000000,155400.000000,150960.000000,153420.000000,153420.000000,23
2011-03-21,146640.000000,146740.000000,141380.000000,141420.000000,141420.000000,44
2011-03-22,139900.000000,142180.000000,139620.000000,140220.000000,140220.000000,22
2011-03-23,141960.000000,144380.000000,135080.000000,135460.000000,135460.000000,51
2011-03-24,131420.000000,133820.000000,130720.000000,131860.000000,131860.000000,50
2011-03-25,130140.000000,132060.000000,128440.000000,131740.000000,131740.000000,78
2011-03-28,130440.000000,133480.000000,129220.000000,133420.000000,133420.000000,53
2011-03-29,133320.000000,135300.000000,130120.000000,130220.000000,130220.000000,42
2011-03-30,128540.000000,129180.000000,126880.000000,127760.000000,127760.000000,57
2011-03-31,129000.000000,129440.000000,127080.000000,127500.000000,127500.000000,43
